274, 685
378, 1101
114, 1100
279, 682
371, 1100
115, 1100
272, 681
378, 1101
115, 1100
270, 680
377, 1100
115, 1100
269, 677
115, 1102
377, 1100
268, 675
378, 1101
108, 1100
266, 673
372, 1100
115, 1100
264, 671
378, 1101
115, 1100
263, 670
115, 1101
377, 1100
262, 666
377, 1100
114, 1100
260, 664
378, 1101
115, 1100
259, 663
372, 1101
115, 1100
258, 661
378, 1101
115, 1100
256, 659
377, 1100
115, 1100
255, 657
115, 1102
377, 1100
254, 654
378, 1101
109, 1100
252, 652
371, 1100
115, 1100
251, 650
378, 1101
116, 1100
250, 648
115, 1101
377, 1100
249, 646
377, 1100
114, 1100
246, 643
378, 1101
114, 1100
245, 641
371, 1100
115, 1100
244, 639
378, 1101
115, 1100
243, 637
377, 1100
115, 1100
242, 634
115, 1102
377, 1100
241, 633
109, 1101
378, 1101
239, 630
372, 1101
115, 1100
239, 628
378, 1101
115, 1100
237, 627
116, 1101
377, 1100
235, 625
377, 1100
114, 1100
236, 621
378, 1101
114, 1100
234, 619
115, 1101
371, 1100
232, 617
378, 1101
115, 1100
232, 615
377, 1100
115, 1100
231, 613
115, 1102
377, 1100
230, 611
378, 1101
108, 1100
228, 609
372, 1100
115, 1100
227, 606
378, 1101
116, 1100
226, 602
116, 1101
377, 1100
226, 601
377, 1100
114, 1100
224, 599
378, 1101
114, 1100
224, 597
372, 1102
115, 1100
223, 594
378, 1101
115, 1100
222, 591
377, 1100
115, 1100
221, 589
115, 1102
377, 1100
268, 996
220, 587
378, 1101
108, 1100
219, 585
364, 1100
115, 1100
218, 581
378, 1101
116, 1100
218, 581
116, 1101
377, 1100
217, 579
